date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name,streams_agg
01-04-2021,Estonia,71,7526,6GosMiIBlJ0X6XopIZpwIO,"['villemdrillem', 'boipepperoni']","['estonian hip hop', 'estonian pop']",195392,False,drill(em),86169
10-10-2019,Czechia,160,23120,6Gpa8kQw5Zi657IsB83EQz,['Chinaski'],"['czech pop', 'czech rock', 'czech pop rock']",188657,False,Láska a data,1842549
14-12-2017,Netherlands,198,157966,6GrNyiRDjQIvYsMmhgkMF2,"['DJ DYLVN', 'Caza', 'Zefanio', 'Defano Holwijn']","['dutch pop', 'dutch hip hop', 'dutch rap pop']",193018,True,Even Dansen,157966
10-11-2022,Finland,112,66157,6GrRhvJO2Pe6f7qgyFCZua,['Paleface'],"['suomi rock', 'finnish hip hop', 'suomirap']",262249,False,Miehet ei itke,66157
21-10-2021,,149,5871053,6GsD646HrIDJJpzoY9T1Rt,"['Duki', 'Justin Quiles', 'Bizarrap']","['latin hip hop', 'trap argentino', 'reggaeton', 'pop venezolano', 'trap triste', 'argentine hip hop', 'trap latino']",196727,False,Unfollow,57916165
21-06-2018,Türkiye,149,77987,6GxaMyQYnqqASQKNYY4Tub,['Mabel Matiz'],['turkish pop'],263799,False,A Canım,12947305
26-05-2022,Poland,121,261567,6Gya2C0NhjXXhyolNtujZQ,"['Baba Hassan', 'Pusher', 'Oska030', '@atutowy', 'Polski Bandyta']",['polish hip hop'],288000,True,Problemy Luxusowe,453993
19-10-2017,Netherlands,136,175259,6Gykl9tC7Dn1jALc1IFEd9,['Ashafar'],['dutch hip hop'],186206,True,Tinhasjien,175259
13-02-2020,Türkiye,87,261146,6H0PfGU5laSGKUFtQkyVpD,['Göksel'],"['turkce slow sarkilar', 'turkish pop']",233203,False,Ben Fena Aşığım,261146
08-07-2021,Morocco,23,42360,6H2GjPvnzQp3SeSD3ATQQk,"['Tawsen', 'Draganov']","['rap maroc', 'rap belge', 'moroccan pop']",189650,True,Bonne année,311487
14-05-2020,Iceland,1,53245,6H7nHMlKFHqztFoo020VNP,"['Birgir Hákon', 'M Can', 'Tommyonthetrack']","['icelandic pop', 'icelandic hip hop']",128196,False,Haltu Kjafti,239842
